participant_number,order,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_cfr_answer,trial_1_response,trial_1_score,trial_2,trial_2_cfr_answer,trial_2_response,trial_2_score,trial_3,trial_3_cfr_answer,trial_3_response,trial_3_score,trial_4,trial_4_cfr_answer,trial_4_response,trial_4_score,trial_1_to_4_total_score,trial_5,trial_5_cfr_answer,trial_5_response,trial_5_score,trial_6,trial_6_cfr_answer,trial_6_response,trial_6_score,trial_7,trial_7_cfr_answer,trial_7_response,trial_7_score,trial_8,trial_8_cfr_answer,trial_8_response,trial_8_score,trial_5_to_8_total_score,notes,exclude,exclude_reason,notes,,
14,1,12/21/2023,This_Or_That_20231221_Lookit_SZ_1,180950,6863170b-746b-4d23-8988-c29fa5b299f7,1095-1460,1230,3.37,female,en uk,benji,harry,order1_basketball_left_egg_right,egg,egg,1,order1_vase_left_bear_right,vase,toy_bear,0,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_phone_left_duck_right,phone,phone,1,3,order1_vase_left_bear_right_granny,vase,toy_bear,0,order1_duck_left_phone_right_granny,phone,phone,1,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_basketball_left_egg_right_granny,egg,egg,1,3,,,,,,
15,1,12/22/2023,This_Or_That_20231222_Lookit_SZ_1,181091,c5f47748-d435-474f-9e08-747bbfdb0800,1095-1460,1110,3.04,male,en so,benji,harry,order1_bear_left_vase_right,vase,vase,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_phone_left_duck_right,phone,phone,1,order1_basketball_left_egg_right,egg,basketball,0,3,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_phone_left_duck_right_granny,phone,phone,1,order1_bear_left_vase_right_granny,vase,vase,1,order1_egg_left_basketball_right_granny,egg,basketball and egg,0,3,,,,,,
16,2,12/26/23,This_Or_That_20231226_Lookit_SZ_3,181688,f7c0d869-032d-43e9-a9c1-5bc71d117448,1095-1460,1200,3.29,male,en so,benji,harry,order2_duck_left_phone_right_granny,phone,phone,1,order2_egg_left_basketball_right_granny,egg,basketball,0,order2_vase_left_bear_right_granny,vase,toy_bear,0,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,2,order2_duck_left_phone_right,phone,ducky,0,order2_basketball_left_egg_right,egg,basketball,0,order2_vase_left_bear_right,vase,vase,1,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,2,,,,,,
17,2,12/27/23,This_Or_That_20231227_Lookit_SZ_3,181751,2d694581-c099-4484-9b80-e72cb79d8c82,1095-1460,1320,3.62,female,en so ur,benji,harry,order2_basketball_left_egg_right_granny,egg,egg,1,order2_vase_left_bear_right_granny,vase,vase,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_phone_left_duck_right_granny,phone,phone,1,4,order2_icecream_left_sunscreen_right,ice_cream,sunscreen,0,order2_vase_left_bear_right,vase,toy_bear,0,order2_duck_left_phone_right,phone,ducky,0,order2_egg_left_basketball_right,egg,basketball,0,0,,,,,,
18,2,12/27/23,This_Or_That_20231227_Lookit_SZ_5,181843,866e20c2-c0c2-43bb-b0b2-a8009c9ae1ba,1095-1460,1110,3.04,female,en,benji,harry,order2_egg_left_basketball_right_granny,egg,basketball,0,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_phone_left_duck_right_granny,phone,phone,1,2,order2_basketball_left_egg_right,egg,egg,1,order2_duck_left_phone_right,phone,phone,1,order2_vase_left_bear_right,vase,toy_bear,0,order2_sunscreen_left_icecream_right,ice_cream,sunscreen,0,2,,,,,,
19,2,12/27/23,This_Or_That_20231227_Lookit_SZ_7,181866,3f34cff2-1784-4b91-9dfe-78d9b0941902,1095-1460,1200,3.29,male,en,benji,harry,order2_bear_left_vase_right_granny,vase,vase,1,order2_duck_left_phone_right_granny,phone,phone,1,order2_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,order2_egg_left_basketball_right_granny,egg,egg,1,3,order2_bear_left_vase_right,vase,toy_bear,0,order2_egg_left_basketball_right,egg,egg,1,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_phone_left_duck_right,phone,phone,1,3,"""benji"" was reminded by the parent",,,,,
20,2,12/28/23,This_Or_That_20231228_Lookit_SZ_1,181922,45fecbaf-bf21-4c2c-80fa-15b6ac07b3dd,1095-1460,1110,3.04,male,en,harry,harry,order2_bear_left_vase_right_granny,vase,vase,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_phone_left_duck_right_granny,phone,phone,1,order2_egg_left_basketball_right_granny,egg,egg,1,4,order2_bear_left_vase_right,vase,toy_bear,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_phone_left_duck_right,phone,phone,1,order2_egg_left_basketball_right,egg,basketball,0,2,,,,,,
21,2,12/29/23,This_Or_That_20231229_Lookit_SZ_3,182136,6a30456b-86b3-4a93-b601-853f4ad6e992,1095-1460,1110,3.04,female,en,harry,harry,order2_basketball_left_egg_right_granny,egg,egg,1,order2_duck_left_phone_right_granny,phone,ducky,0,order2_bear_left_vase_right_granny,vase,bear,0,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,2,order2_basketball_left_egg_right,egg,egg,1,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_bear_left_vase_right,vase,toy_bear,0,order2_phone_left_duck_right,phone,phone,1,3,,,,,,
22,2,12/30/23,This_Or_That_20231230_Lookit_SZ_1,182307,0dc561e7-a4f3-4469-aa86-b729c7ea6298,1095-1460,1200,3.29,female,en,benji,harry,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_phone_left_duck_right_granny,phone,phone,1,order2_egg_left_basketball_right_granny,egg,egg,1,3,order2_egg_left_basketball_right,egg,egg,1,order2_duck_left_phone_right,phone,phone,1,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_bear_left_vase_right,vase,toy_bear,0,3,,,,,,
23,2,12/31/23,This_Or_That_20231231_Lookit_SZ_2,182482,eeaa5d7b-4dc8-4897-87f8-15e2807cd80c,1095-1460,1110,3.04,female,en fr de,harry,harry,order2_vase_left_bear_right_granny,vase,toy_bear,0,order2_duck_left_phone_right_granny,phone,phone,1,order2_basketball_left_egg_right_granny,egg,egg,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,3,order2_bear_left_vase_right,vase,vase,1,order2_phone_left_duck_right,phone,phone,1,order2_icecream_left_sunscreen_right,ice_cream,sunscreen,0,order2_basketball_left_egg_right,egg,egg,1,3,,,,,,
24,2,1/1/24,This_Or_That_20240101_Lookit_SZ_1,182580,a2887c7e-3f7f-4763-b601-7a206f1eca0b,1095-1460,1230,3.37,male,en,benji,harry,order2_duck_left_phone_right_granny,phone,phone,1,order2_bear_left_vase_right_granny,vase,vase,1,order2_basketball_left_egg_right_granny,egg,egg,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,4,order2_basketball_left_egg_right,egg,egg,1,order2_bear_left_vase_right,vase,toy_bear,0,order2_phone_left_duck_right,phone,ducky,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,2,,,,,,
25,2,1/2/24,This_Or_That_20240102_Lookit_SZ_1,182772,e5622060-ebd4-43e4-9c86-0e42ef892570,1095-1460,1260,3.45,male,en,harry,harry,order2_egg_left_basketball_right_granny,egg,basketball,0,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_phone_left_duck_right_granny,phone,ducky,0,1,order2_vase_left_bear_right,vase,toy_bear,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_egg_left_basketball_right,egg,egg,1,order2_phone_left_duck_right,phone,ducky,0,2,,,,,,
26,2,1/2/24,This_Or_That_20240102_Lookit_SZ_3,182809,69a2f1b2-ed18-4f74-becd-2c91c142ab77,1095-1460,1410,3.86,female,en,benji,harry,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_duck_left_phone_right_granny,phone,ducky,0,order2_egg_left_basketball_right_granny,egg,egg,1,order2_vase_left_bear_right_granny,vase,toy_bear,0,2,order2_phone_left_duck_right,phone,ducky,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_bear_left_vase_right,vase,toy_bear,0,order2_egg_left_basketball_right,egg,egg,1,2,,,,,,
27,2,1/5/24,This_Or_That_20240105_Lookit_SZ_4,183442,7f3e861d-2493-46d7-978d-dac45f40c2bc,1095-1460,1350,3.70,male,en,benji,harry,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_egg_left_basketball_right_granny,egg,egg,1,order2_vase_left_bear_right_granny,vase,toy_bear,0,order2_phone_left_duck_right_granny,phone,phone,1,3,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_egg_left_basketball_right,egg,egg,1,order2_duck_left_phone_right,phone,phone,1,order2_vase_left_bear_right,vase,toy_bear,0,3,,,,,,
28,2,1/5/24,This_Or_That_20240105_Lookit_SZ_5,183450,917a87df-842e-4f98-b921-0393b815890f,1095-1460,1290,3.53,male,en,harry,benji,order2_phone_left_duck_right_granny,phone,phone,1,order2_egg_left_basketball_right_granny,egg,egg,1,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,3,order2_duck_left_phone_right,phone,phone,1,order2_basketball_left_egg_right,egg,egg,1,order2_bear_left_vase_right,vase,vase,1,order2_icecream_left_sunscreen_right,ice_cream,sunscreen,0,3,,,,,,
29,2,1/5/24,This_Or_That_20240105_Lookit_SZ_6,183458,8ba12c48-7a9e-42ff-913f-1bbada0c3126,1095-1460,1440,3.95,male,en,benji,harry,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_duck_left_phone_right_granny,phone,ducky,0,order2_vase_left_bear_right_granny,vase,vase,1,order2_egg_left_basketball_right_granny,egg,basketball,0,2,order2_basketball_left_egg_right,egg,basketball,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_duck_left_phone_right,phone,ducky,0,order2_bear_left_vase_right,vase,toy_bear,0,1,,,,,,
30,2,1/5/24,This_Or_That_20240105_Lookit_SZ_9,183512,4936597f-8f4d-4cd6-9c7d-5c0431afdbce,1095-1460,1380,3.78,female,en,benji,harry,order2_vase_left_bear_right_granny,vase,vase,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_basketball_left_egg_right_granny,egg,egg,1,order2_duck_left_phone_right_granny,phone,phone,1,4,order2_egg_left_basketball_right,egg,basketball,0,order2_icecream_left_sunscreen_right,ice_cream,sunscreen,0,order2_phone_left_duck_right,phone,ducky,0,order2_bear_left_vase_right,vase,toy_bear,0,0,,,,,,
31,1,10/24/2023,This_Or_That_20231024_Lookit_SZ_9,164047,002354c1-e4f3-4c25-8d23-b181e1069447,1460-1826,1710,4.68,female,en es,benji,harry,order1_basketball_left_egg_right,egg,basketball,0,order1_bear_left_vase_right,vase,vase,1,order1_duck_left_phone_right,phone,phone,1,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,3,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_duck_left_phone_right_granny,phone,phone,1,order1_basketball_left_egg_right_granny,egg,basketball,0,order1_bear_left_vase_right_granny,vase,toy_bear,0,2,,,,,164606,
32,1,10/24/2023,This_Or_That_20231024_Lookit_SZ_11,164056,60c39f38-2315-43fa-b164-5edfb317629a,1460-1826,1500,4.11,male,en,benji,harry,order1_egg_left_basketball_right,egg,basketball,0,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_phone_left_duck_right,phone,phone,1,order1_vase_left_bear_right,vase,toy_bear,0,2,order1_basketball_left_egg_right_granny,egg,egg,1,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_vase_left_bear_right_granny,vase,vase,1,order1_phone_left_duck_right_granny,phone,phone,1,3,,,,,,
33,1,10/24/2023,This_Or_That_20231024_Lookit_SZ_14,164203,daa56bd0-abe9-48bf-af91-6f9026fdf4bb,1460-1826,1530,4.19,male,en ml te,benji,harry,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_phone_left_duck_right,phone,ducky,0,order1_vase_left_bear_right,vase,vase,1,order1_basketball_left_egg_right,egg,egg,1,3,order1_vase_left_bear_right_granny,vase,toy_bear,0,order1_egg_left_basketball_right_granny,egg,basketball,0,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_duck_left_phone_right_granny,phone,phone,1,1,,,,,,
34,1,10/24/2023,This_Or_That_20231024_Lookit_SZ_18,164262,34b273b9-efa6-4deb-9ac8-3123360db2a9,1460-1826,1500,4.11,male,en nl de,benji,harry,order1_phone_left_duck_right,phone,phone,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_basketball_left_egg_right,egg,egg,1,order1_vase_left_bear_right,vase,toy_bear,0,3,order1_duck_left_phone_right_granny,phone,ducky,0,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_egg_left_basketball_right_granny,egg,egg,1,order1_vase_left_bear_right_granny,vase,toy_bear,0,2,,,,,,
35,1,10/25/2023,This_Or_That_20231025_Lookit_SZ_4,164563,b8f53a08-d614-4008-aee3-0a81e452d78a,1460-1826,1740,4.77,female,en,benji,harry,order1_duck_left_phone_right,phone,phone,1,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_bear_left_vase_right,vase,toy_bear,0,order1_egg_left_basketball_right,egg,egg,1,3,order1_egg_left_basketball_right_granny,egg,egg,1,order1_bear_left_vase_right_granny,vase,toy_bear,0,order1_duck_left_phone_right_granny,phone,ducky,0,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,2,,,,,,
36,1,10/25/2023,This_Or_That_20231025_Lookit_SZ_6,164597,bcfafbc5-840f-4e7e-9f5e-8555ca9db281,1460-1826,1500,4.11,female,en,benji,harry,order1_duck_left_phone_right,phone,ducky,0,order1_vase_left_bear_right,vase,toy_bear,0,order1_basketball_left_egg_right,egg,egg,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,2,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_phone_left_duck_right_granny,phone,phone,1,order1_bear_left_vase_right_granny,vase,vase,1,order1_egg_left_basketball_right_granny,egg,basketball,0,2,,,,,,
37,1,10/25/2023,This_Or_That_20231025_Lookit_SZ_11,164680,173560cf-4173-4971-af0b-a1c75dcfed97,1460-1826,1740,4.77,male,en,benji,harry,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_egg_left_basketball_right,egg,basketball,0,order1_bear_left_vase_right,vase,toy_bear,0,order1_duck_left_phone_right,phone,ducky,0,1,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_vase_left_bear_right_granny,vase,toy_bear,0,order1_phone_left_duck_right_granny,phone,ducky,0,order1_basketball_left_egg_right_granny,egg,basketball,0,1,,,,,,
38,1,10/26/2023,This_Or_That_20231026_Lookit_SZ_1,164780,3d501437-f4a4-444c-890f-55dd9c4cf996,1460-1826,1590,4.36,female,en,benji,harry,order1_bear_left_vase_right,vase,vase,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_duck_left_phone_right,phone,phone,1,order1_basketball_left_egg_right,egg,egg,1,4,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_phone_left_duck_right_granny,phone,phone,1,order1_basketball_left_egg_right_granny,egg,egg,1,order1_bear_left_vase_right_granny,vase,vase,1,4,,,,,,
39,1,10/26/2023,This_Or_That_20231026_Lookit_SZ_2,164790,82cb3f45-c9eb-42e4-8b01-16ba403cd3d1,1460-1826,1590,4.36,male,en,benji,harry,order1_basketball_left_egg_right,egg,egg,1,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_duck_left_phone_right,phone,phone,1,order1_vase_left_bear_right,vase,toy_bear,0,3,order1_phone_left_duck_right_granny,phone,phone,1,order1_vase_left_bear_right_granny,vase,vase,1,order1_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,order1_egg_left_basketball_right_granny,egg,egg,1,3,,,,,,
40,1,11/27/2023,This_Or_That_20231127_Lookit_SZ_1,174798,73a8fd1e-8416-4e97-82c4-476893fcd1d4,1460-1826,1680,4.60,male,en,benji,harry,order1_basketball_left_egg_right,egg,egg,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_bear_left_vase_right,vase,toy_bear,0,order1_duck_left_phone_right,phone,phone,1,3,order1_egg_left_basketball_right_granny,egg,basketball,0,order1_bear_left_vase_right_granny,vase,vase,1,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_phone_left_duck_right_granny,phone,ducky,0,2,,,,,,
41,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_2,174936,13eeefda-f81c-45aa-a591-be5175c5017d,1460-1826,1680,4.60,male,en,benji,harry,order1_egg_left_basketball_right,egg,basketball,0,order1_bear_left_vase_right,vase,vase,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_phone_left_duck_right,phone,ducky,0,2,order1_egg_left_basketball_right_granny,egg,egg,1,order1_duck_left_phone_right_granny,phone,phone,1,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_bear_left_vase_right_granny,vase,vase,1,4,,,,,,
42,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_10,175138,d83c5c79-8256-4427-8475-ea1b40692c95,1460-1826,1500,4.11,female,en gu hi,benji,harry,order1_bear_left_vase_right,vase,toy_bear,0,order1_duck_left_phone_right,phone,phone,1,order1_basketball_left_egg_right,egg,egg,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,3,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_bear_left_vase_right_granny,vase,vase,1,order1_egg_left_basketball_right_granny,egg,basketball,0,order1_phone_left_duck_right_granny,phone,phone,1,3,,,,,,
43,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_13,175168,e06ca85c-5c7a-4e17-ab82-8db92edd6407,1460-1826,1530,4.19,male,en,benji,harry,order1_vase_left_bear_right,vase,toy_bear,0,order1_phone_left_duck_right,phone,ducky,0,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_egg_left_basketball_right,egg,egg,1,2,order1_egg_left_basketball_right_granny,egg,basketball,0,order1_vase_left_bear_right_granny,vase,toy_bear,0,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_duck_left_phone_right_granny,phone,phone,1,2,,,,,,
